lt,zt,lc_lt_integrated,status,error,prob
183, 0.3, 0.000780771, 0, 6.64517e-08, 0.0237909
184, 0.3, 0.000758865, 0, 6.02407e-08, 0.0284687
185, 0.3, 0.000740043, 0, 5.52109e-08, 0.0246754
186, 0.3, 0.000723924, 0, 5.1254e-08, 0.0326547
187, 0.3, 0.000710183, 0, 4.88903e-08, 0.0311245
188, 0.3, 0.000698525, 0, 4.66471e-08, 0.0358047
189, 0.3, 0.000688693, 0, 4.41139e-08, 0.0361944
190, 0.3, 0.000680479, 0, 6.39153e-08, 0.08617
191, 0.3, 0.000673644, 0, 6.11626e-08, 0.0893527
192, 0.3, 0.000668025, 0, 5.80353e-08, 0.0790658
193, 0.3, 0.000663468, 0, 5.53857e-08, 0.0683279
194, 0.3, 0.000659836, 0, 5.25907e-08, 0.0801023
195, 0.3, 0.000657001, 0, 5.0812e-08, 0.083474
196, 0.3, 0.000654854, 0, 4.91129e-08, 0.0862164
197, 0.3, 0.000653302, 0, 4.87847e-08, 0.0902878
198, 0.3, 0.000652258, 0, 4.75857e-08, 0.0872353
199, 0.3, 0.000651647, 0, 4.68117e-08, 0.0747252
200, 0.3, 0.000651402, 0, 4.58553e-08, 0.0749013
